# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

0.1589515539323078 49070966.87654282
0.16054106947163088 48440300.57788589
0.1621464801663472 47817739.682598166
0.16376794496801067 47203180.019006595
0.16540562441769077 46596518.75426476
0.1670596806618677 45997654.37714782
0.16873027746848637 45406486.68106539
0.17041758024317125 44822916.747295514
0.17212175604560295 44246846.92843204
0.173842973606059 43678180.83204555
0.17558140334211958 43116823.30455438
0.17733721737554078 42562680.41530299
0.1791105895492962 42015659.440844186
0.18090169544478918 41475668.84942468
0.18271071239923709 40942618.28566874
0.18453781952322945 40416418.55545945
0.18638319771846174 39896981.61101379
0.18824702969564636 39384220.536150455
0.1901294999926028 38878049.53174532
0.19203079499252884 38378383.90137633
0.19395110294245413 37885140.03714981
0.19589061397187868 37398235.40571179
0.19784952011159748 36917588.534437224
0.19982801531271346 36443118.99779799
0.2018262954658406 35974747.403904594
0.203844558420499 35512395.38122236
0.205883004004704 35055985.56545768
0.20794183404475103 34605441.58661257
0.21002125238519853 34160688.05620567
0.2121214649090505 33721650.554658435
0.21424267955814102 33288255.618842017
0.21638510635372243 32860430.72978488
0.21854895741725966 32438104.300538704
0.22073444699143227 32021205.66419973
0.2229417914613466 31609665.06208393
0.22517120937596008 31203413.63205513
0.22742292146971968 30802383.397001855
0.22969715068441687 30406507.253463157
0.23199412219126103 30015718.96040028
0.23431406341317365 29629953.12811273
0.2366572040473054 29249145.20729675
0.23902377608777844 28873231.47824441
0.24141401384865624 28502149.04018149
0.2438281539871428 28135835.800742686
0.24626643552701424 27774230.465581514
0.2487290998822844 27417272.52811427
0.25121639088110725 27064902.25939555
0.25372855478991835 26717060.698123883
0.2562658403378175 26373689.640776098
0.2588284987411957 26034731.631867774
0.26141678372860766 25700129.954340063
0.26403095156589373 25369828.62006873
0.2666712610815527 25043772.36049604
0.2693379736923682 24721906.617382884
0.2720313534292919 24404177.53367934
0.27475166696358483 24090531.944513474
0.2774991836332207 23780917.368294727
0.2802741754695529 23475281.99793287
0.28307691722424844 23173574.692168653
0.28590768639649095 22875744.967017077
0.28876676326045586 22581742.987319686
0.2916544308930604 22291519.558405668
0.29457097520199105 22005026.117860496
0.29751668495401096 21722214.727399845
0.3004918518035511 21443038.064848475
0.3034967703215866 21167449.416221697
0.3065317380248025 20895402.667908728
0.3095970554050505 20626852.298956912
0.31269302595910103 20361753.373454686
0.315819956218692 20100061.533012416
0.31897815578087896 19841732.989340253
0.32216793733868776 19586724.51692088
0.3253896167120746 19334993.44577695
0.32864351287919535 19086497.654331025
0.3319299480079873 18841195.562357448
0.33524924748806717 18599046.12402501
0.33860173996294785 18360008.82102872
0.3419877573625773 18124043.655809984
0.3454076349362031 17891111.144863795
0.3488617112855651 17661172.31213247
0.35235032839842073 17434188.68248322
0.35587383168240494 17210122.27527077
0.359432569999229 16988935.59798178
0.3630268956992213 16770591.639961628
0.3666571646562135 16555053.866221158
0.37032373630277565 16342286.211323634
0.3740269736658034 16132253.073349832
0.37776724340246143 15924919.307940992
0.38154491583648603 15720250.222417984
0.3853603649948509 15518211.569976592
0.3892139686447994 15318769.543956673
0.3931061083312474 15121890.772185715
0.39703716941455985 14927542.311394598
0.40100754110870546 14735691.641705137
0.4050176165197925 14546306.66118895
0.40906779268499044 14359355.680495592
0.41315847061184036 14174807.417550188
0.41729005531795876 13992630.992319098
0.42146295587113836 13812795.9216428
0.42567758542984974 13635272.114135126
0.42993436128414825 13460029.865148295
0.43423370489698976 13287039.851802483
0.43857604194595967 13116273.128079146
0.44296180236541927 12947701.11997768
0.4473914203890735 12781295.620734151
0.45186533459296424 12617028.786101565
0.4563839879388939 12454873.12969078
0.46094782781828286 12294801.518371074
0.4655573060964657 12136787.167730244
0.4702128791574303 11980803.637592819
0.47491500794900465 11826824.827595748
0.4796641580284947 11674824.972821113
0.4844607996087797 11524778.639485138
0.4893054076048675 11376660.720682114
0.4941984616809162 11230446.432183577
0.49914044629772536 11086111.308291083
