X0078V    6062  4.17 -1.54 100.0           ChemPec* 
X0083V    6074  4.14 -1.34 100.0            HighPM* 
X0074V    6095  4.15 -1.42 100.0            HighPM* 
X0080V    6129  4.16 -1.55 100.0           ChemPec* 
X0079V    6132  4.08 -1.69 100.0            HighPM* 
X0091V    6153  4.25 -0.14 100.0            HighPM* 
X0076V    6161  4.25 -1.46 100.0            HighPM* 
X0404V    6174  3.97 -2.18 100.0               Star 
X0026V    6186  4.15 -1.48  10.0                SB* # Spec. Bin. (DECREASED S/N)  
X0041V    6189  4.09 -1.86 100.0           ChemPec* 
X0357V    6200  4.15 -0.15 100.0            HighPM* 
X0406V    6217  3.95 -2.29 100.0               Star 
X0282V    6237  3.41  0.08 100.0               RGB* 
X0329V    6265  3.99  0.26 100.0               Star 
X0169V    6308  4.29 -0.32 100.0            HighPM* 
X0340V    6465  4.06 -0.03 100.0               Star 
X0481V    6492  2.42  0.27 100.0       ClassicalCep 
X0164V    6496  1.33  0.08 100.0               Star 
X0159V    6502  4.28 -0.09 100.0               Star 
X0146V    6519  3.79  0.15 100.0               Star 
X0299V    6521  4.22 -0.13 100.0                 ** 
X0371V    6568  4.09 -0.46 100.0            HighPM* 
X0114V    6582  4.22 -0.45 100.0               Star 
X0269V    6618  1.35  0.21 100.0       ClassicalCep 
X0349V    6672  3.89  0.27 100.0               Star 
X0248V    6687  2.31 -1.33 100.0          post-AGB* 
X0399V    6737  0.78  0.07 100.0               Star 
X0321V    6743  2.99 -0.16 100.0      MainSeq*_Cand 
X0291V    6792  3.86  0.15 100.0               Star 
X0141V    6819  3.82  0.18 100.0                 ** 
X0333V    6834  3.70  0.42 100.0               Star 
X0148V    6956  3.69  0.49 100.0               Star 
X0338V    7004  3.85 -0.09 100.0               Star 
X0222V    7018  4.04  0.18 100.0         gammaDorV* 
X0341V    7023  4.13  0.09 100.0               Star 
X0139V    7055  4.02  0.00 100.0               Star 
X0313V    7096  4.02 -0.02 100.0               Star 
X0337V    7123  3.83  0.10 100.0               Star 
X0166V    7216  3.95 -0.12 100.0               Star 
X0160V    7229  3.66  0.16 100.0               Star 
X0356V    7246  3.89  0.02 100.0               Star 
X0372V    7257  3.70  0.22 100.0             PulsV* 
X0350V    7318  4.00  0.09 100.0               Star 
X0128V    7360  4.07  0.07 100.0            HighPM* 
X0400V    7379  0.67  0.81 100.0           YellowSG 
X0051V    7515  1.51 -0.89 100.0         Supergiant 
X0310V    7610  3.44  0.56 100.0               Star 
X0257V    7617  3.38  0.38 100.0            HighPM* 
X0323V    7697  3.91  0.08 100.0           delSctV* 
X0197V    7725  3.48 -0.20 100.0               Star 
X0189V    7799  3.82  0.16 100.0             PulsV* 
X0108V    7830  2.38 -1.47 100.0            RRLyrae 
X0324V    7862  3.01 -0.27 100.0               Star 
X0191V    7931  2.61 -0.19 100.0               Star 
X0153V    7935  4.20 -0.71 100.0               Star 
X0373V    7939  3.66 -0.01 100.0               Star 
X0322V    7971  3.93  0.04 100.0                 ** 
X0140V    8042  3.81  0.03 100.0               Star 
X0317V    8052  3.46  0.36 100.0               Star 
X0307V    8070  3.95  0.06 100.0           delSctV* 
X0270V    8077  3.93  0.42 100.0                 ** 
X0355V    8143  3.60  0.08 100.0               Star 
X0365V    8208  3.85  0.03 100.0            HighPM* 
X0111V    8248  3.42  0.25 100.0          Variable* 
X0298V    8296  3.94  0.04 100.0               Star 
X0296V    8297  3.62 -0.04 100.0                 ** 
X0301V    8301  3.48 -0.04 100.0               Star 
X0315V    8400  3.45 -0.26 100.0               Star 
X0285V    8568  4.39 -0.03 100.0               Star 
X0314V    8752  3.31  0.06 100.0               Star 
X0230V    8759  3.16 -1.67 100.0            HighPM* 
X0318V    8841  4.06 -0.23 100.0               Star 
X0249V    8843  3.23 -1.65 100.0            HighPM* 
X0319V    9262  3.65 -0.40 100.0               Star 
X0294V    9351  4.52 -0.29 100.0               Star 
X0199V    9569  3.67  0.44 100.0          alf2CVnV* 
X0278V   10044  3.82 -0.26 100.0               Star 
X0300V   10079  4.09 -0.47 100.0               Star 
X0354V   10541  3.77 -0.02 100.0               Star 
X0292V   10885  3.67  0.73 100.0           EllipVar 
X0289V   12289  3.93  0.20 100.0               Star 
X0134V   12460  4.21  0.59 100.0          alf2CVnV* 
X0358V   13265  3.87  0.23 100.0               Star 
X0395V   14397  3.69  0.27 100.0          Variable* 
X0304V   15500  3.63  0.29 100.0                Be* 
X0142V   15760  4.18 -0.07 100.0               Star 
X0154V   16006  4.16 -0.11 100.0               Star 
X0219V   19543  3.39 -0.02 100.0        bCepV*_Cand 
X0046V   19879  3.46 -0.03 100.0               Star 
X0151V   20129  3.59 -0.04 100.0                 ** 
X0469V   36310  0.54 -0.21 100.0       LongPeriodV* 
